country,company,sector,revenue,risk,year
Germany,Mercedes-Benz,Industries,68.14,0.31146476324647665,2015
Germany,Mercedes-Benz,Industries,68.14,0.35306396416854113,2014
Germany,Mercedes-Benz,Industries,68.14,0.2858040641876869,2022
Germany,Mercedes-Benz,Industries,68.14,0.4160073505481705,2018
Germany,Mercedes-Benz,Industries,68.14,0.3144253377104178,2016
Germany,Mercedes-Benz,Industries,68.14,0.5070619417820126,2021
Germany,Mercedes-Benz,Industries,68.14,0.4177146144211292,2023
Germany,Mercedes-Benz,Industries,68.14,0.4492979773785919,2020
Germany,Mercedes-Benz,Industries,68.14,0.4606513206381351,2017
Germany,Mercedes-Benz,Industries,68.14,0.34473976236768067,2019
Germany,BMW,Industries,55.03,0.41880952089559287,2015
Germany,BMW,Industries,55.03,0.68118462478742,2014
Germany,BMW,Industries,55.03,0.644265113864094,2022
Germany,BMW,Industries,55.03,0.4356598910235334,2018
Germany,BMW,Industries,55.03,0.5034876719582826,2016
Germany,BMW,Industries,55.03,0.5035056071355939,2021
Germany,BMW,Industries,55.03,0.49323902651667595,2023
Germany,BMW,Industries,55.03,0.5705032475525513,2020
Germany,BMW,Industries,55.03,0.5873952261172235,2017
Germany,BMW,Industries,55.03,0.5118016330525279,2019
Germany,Siemens,Industries,135.42,0.4041269061854109,2015
Germany,Siemens,Industries,135.42,0.5849415005650371,2014
Germany,Siemens,Industries,135.42,0.5386004394385964,2022
Germany,Siemens,Industries,135.42,0.57638531900011,2018
Germany,Siemens,Industries,135.42,0.6064579384401441,2016
Germany,Siemens,Industries,135.42,0.6733762684743851,2021
Germany,Siemens,Industries,135.42,0.5246910664718598,2023
Germany,Siemens,Industries,135.42,0.42975561146158725,2020
Germany,Siemens,Industries,135.42,0.557208571350202,2017
Germany,Siemens,Industries,135.42,0.5240518790669739,2019
Germany,Infineon,Industries,41.66,0.2732206477667205,2015
Germany,Infineon,Industries,41.66,0.37782345397863537,2014
Germany,Infineon,Industries,41.66,0.3747208345448598,2022
Germany,Infineon,Industries,41.66,0.38360152998939157,2018
Germany,Infineon,Industries,41.66,0.40012465394102037,2016
Germany,Infineon,Industries,41.66,0.49000709073152393,2021
Germany,Infineon,Industries,41.66,0.3848089905222878,2023
Germany,Infineon,Industries,41.66,0.20725071971537545,2020
Germany,Infineon,Industries,41.66,0.4456994612701237,2017
Germany,Infineon,Industries,41.66,0.2712726127356291,2019
Germany,SAP,Information Technology,240.94,0.5289365567732602,2015
Germany,SAP,Information Technology,240.94,0.5210089357569814,2014
Germany,SAP,Information Technology,240.94,0.5984389963559806,2022
Germany,SAP,Information Technology,240.94,0.5591433506924659,2018
Germany,SAP,Information Technology,240.94,0.4847519211471081,2016
Germany,SAP,Information Technology,240.94,0.7519438141025603,2021
Germany,SAP,Information Technology,240.94,0.5255638752132654,2023
Germany,SAP,Information Technology,240.94,0.6126869800500572,2020
Germany,SAP,Information Technology,240.94,0.519038672442548,2017
Germany,SAP,Information Technology,240.94,0.6765086338855326,2019
Germany,Volkswagen,Industries,55.93,0.5797196947969496,2021
Germany,ON,Energy,38.46,0.5367530884686857,2015
Germany,ON,Energy,38.46,0.6077695111744106,2014
Germany,ON,Energy,38.46,0.6379364109016024,2022
Germany,ON,Energy,38.46,0.4645406157942489,2018
Germany,ON,Energy,38.46,0.609880983363837,2016
Germany,ON,Energy,38.46,0.4414916876703501,2021
Germany,ON,Energy,38.46,0.5690848049707711,2023
Germany,ON,Energy,38.46,0.6519332993775606,2020
Germany,ON,Energy,38.46,0.7388636958785355,2017
Germany,ON,Energy,38.46,0.5069428322603926,2019
